Sample in Buffer,Sample in Window,TRIGGER,FMsignal_sys_scaled[31:0],I_FIR_data_tvalid,I_FIR2_data_tvalid,Dac_Out_Sig[11:0]
150,150,0,-370292274,0,0,1701
151,151,0,-370292274,0,0,1701
152,152,0,-370292274,0,0,1701
153,153,0,-370292274,0,0,1701
154,154,0,-370292274,0,0,1701
155,155,0,-370292274,0,0,1701
156,156,0,-370292274,0,0,1701
157,157,0,-370292274,0,0,1701
158,158,0,-370292274,0,0,1701
159,159,0,-370292274,0,0,1701
160,160,0,-370292274,0,0,1701
161,161,0,-370292274,0,0,1701
162,162,0,-370292274,0,0,1701
163,163,0,-370292274,0,0,1701
164,164,0,-370292274,0,0,1701
165,165,0,-370292274,0,0,1701
166,166,0,-370292274,0,0,1701
167,167,0,-370292274,0,0,1701
168,168,0,-370292274,0,0,1701
169,169,0,-370292274,0,0,1701
170,170,0,-370292274,0,0,1701
171,171,0,-370292274,0,0,1701
172,172,0,-370292274,0,0,1701
173,173,0,-370292274,0,0,1701
174,174,0,-369393831,0,0,1701
175,175,0,-369393831,0,0,1701
176,176,0,-369393831,0,0,1701
177,177,0,-369393831,0,0,1701
178,178,0,-369393831,0,0,1701
179,179,0,-369393831,0,0,1701
180,180,0,-369393831,0,0,1701
181,181,0,-369393831,0,0,1701
182,182,0,-369393831,0,0,1701
183,183,0,-369393831,0,0,1701
184,184,0,-369393831,0,0,1701
185,185,0,-369393831,0,0,1701
186,186,0,-369393831,0,0,1701
187,187,0,-369393831,0,0,1701
188,188,0,-369393831,0,0,1701
189,189,0,-369393831,0,0,1701
190,190,0,-369393831,0,0,1701
191,191,0,-369393831,0,0,1701
192,192,0,-369393831,0,0,1701
193,193,0,-369393831,0,0,1701
194,194,0,-369393831,0,0,1701
195,195,0,-369393831,0,0,1701
196,196,0,-369393831,0,0,1701
197,197,0,-369393831,0,0,1701
198,198,0,-369393831,0,0,1701
199,199,0,-369393831,0,0,1701
200,200,0,-369393831,0,0,1701
201,201,0,-369393831,0,0,1701
202,202,0,-369393831,0,0,1701
203,203,0,-369393831,0,0,1701
204,204,0,-369393831,0,0,1701
205,205,0,-369393831,0,0,1701
206,206,0,-369393831,0,0,1701
207,207,0,-369393831,0,0,1701
208,208,0,-369393831,0,0,1701
209,209,0,-369393831,0,0,1701
210,210,0,-369393831,0,0,1701
211,211,0,-369393831,0,0,1701
212,212,0,-369393831,0,0,1701
213,213,0,-369393831,0,0,1701
214,214,0,-369393831,0,0,1701
215,215,0,-369393831,0,0,1701
216,216,0,-369393831,0,0,1701
217,217,0,-369393831,0,0,1701
218,218,0,-369393831,0,0,1701
219,219,0,-369393831,0,0,1701
220,220,0,-369393831,0,0,1701
221,221,0,-369393831,0,0,1701
222,222,0,-369393831,0,0,1701
223,223,0,-369393831,0,0,1701
224,224,0,-369393831,0,0,1701
225,225,0,-369393831,0,0,1701
226,226,0,-369393831,0,0,1701
227,227,0,-369393831,0,0,1701
228,228,0,-369393831,0,0,1701
229,229,0,-369393831,0,0,1701
230,230,0,-369393831,0,0,1701
231,231,0,-369393831,0,0,1701
232,232,0,-369393831,0,0,1701
233,233,0,-369393831,0,0,1701
234,234,0,-369393831,0,0,1701
235,235,0,-369393831,0,0,1701
236,236,0,-369393831,0,0,1701
237,237,0,-369393831,0,0,1701
238,238,0,-369393831,0,0,1701
239,239,0,-369393831,0,0,1701
240,240,0,-369393831,0,0,1701
241,241,0,-369393831,0,0,1701
242,242,0,-369393831,0,0,1701
243,243,0,-369393831,0,0,1701
244,244,0,-369393831,0,0,1701
245,245,0,-369393831,0,0,1701
246,246,0,-369393831,0,0,1701
247,247,0,-369393831,0,0,1701
248,248,0,-369393831,0,0,1701
249,249,0,-369393831,1,0,1701
250,250,0,-369393831,0,0,1701
251,251,0,-369393831,0,0,1701
252,252,0,-369393831,0,0,1701
253,253,0,-369393831,0,0,1701
254,254,0,-369393831,0,0,1701
255,255,0,-369393831,0,0,1701
256,256,0,-369393831,0,0,1701
257,257,0,-369393831,0,0,1701
258,258,0,-369393831,0,0,1701
259,259,0,-369393831,0,0,1701
260,260,0,-369393831,0,0,1701
261,261,0,-369393831,0,0,1701
262,262,0,-369393831,0,0,1701
263,263,0,-369393831,0,0,1701
264,264,0,-369393831,0,0,1701
265,265,0,-369393831,0,0,1701
266,266,0,-369393831,0,0,1701
267,267,0,-369393831,0,0,1701
268,268,0,-369393831,0,0,1701
269,269,0,-369393831,0,0,1701
270,270,0,-369393831,0,0,1701
271,271,0,-369393831,0,0,1701
272,272,0,-369393831,0,0,1701
273,273,0,-369393831,0,0,1701
274,274,0,-364644195,0,0,1701
275,275,0,-364644195,0,0,1701
276,276,0,-364644195,0,0,1701
277,277,0,-364644195,0,0,1701
278,278,0,-364644195,0,0,1701
279,279,0,-364644195,0,0,1701
280,280,0,-364644195,0,0,1701
281,281,0,-364644195,0,0,1701
282,282,0,-364644195,0,0,1701
283,283,0,-364644195,0,0,1701
284,284,0,-364644195,0,0,1701
285,285,0,-364644195,0,0,1701
286,286,0,-364644195,0,0,1701
287,287,0,-364644195,0,0,1701
288,288,0,-364644195,0,0,1701
289,289,0,-364644195,0,0,1701
290,290,0,-364644195,0,0,1701
291,291,0,-364644195,0,0,1701
292,292,0,-364644195,0,0,1701
293,293,0,-364644195,0,0,1701
294,294,0,-364644195,0,0,1701
295,295,0,-364644195,0,0,1701
296,296,0,-364644195,0,0,1701
297,297,0,-364644195,0,0,1701
298,298,0,-364644195,0,0,1701
299,299,0,-364644195,0,0,1701
300,300,0,-364644195,0,0,1701
301,301,0,-364644195,0,0,1701
302,302,0,-364644195,0,0,1701
303,303,0,-364644195,0,0,1701
304,304,0,-364644195,0,0,1701
305,305,0,-364644195,0,0,1701
306,306,0,-364644195,0,0,1701
307,307,0,-364644195,0,0,1701
308,308,0,-364644195,0,0,1701
309,309,0,-364644195,0,0,1701
310,310,0,-364644195,0,0,1701
311,311,0,-364644195,0,0,1701
312,312,0,-364644195,0,0,1701
313,313,0,-364644195,0,0,1701
314,314,0,-364644195,0,0,1701
315,315,0,-364644195,0,0,1701
316,316,0,-364644195,0,0,1701
317,317,0,-364644195,0,0,1701
318,318,0,-364644195,0,0,1701
319,319,0,-364644195,0,0,1701
320,320,0,-364644195,0,0,1701
321,321,0,-364644195,0,0,1701
322,322,0,-364644195,0,0,1701
323,323,0,-364644195,0,0,1701
324,324,0,-364644195,0,0,1701
325,325,0,-364644195,0,0,1701
326,326,0,-364644195,0,0,1701
327,327,0,-364644195,0,0,1701
328,328,0,-364644195,0,0,1701
329,329,0,-364644195,0,0,1701
330,330,0,-364644195,0,0,1701
331,331,0,-364644195,0,0,1701
332,332,0,-364644195,0,0,1701
333,333,0,-364644195,0,0,1701
334,334,0,-364644195,0,0,1701
335,335,0,-364644195,0,0,1701
336,336,0,-364644195,0,0,1701
337,337,0,-364644195,0,0,1701
338,338,0,-364644195,0,0,1701
339,339,0,-364644195,0,0,1701
340,340,0,-364644195,0,0,1701
341,341,0,-364644195,0,0,1701
342,342,0,-364644195,0,0,1701
343,343,0,-364644195,0,0,1701
344,344,0,-364644195,0,0,1701
345,345,0,-364644195,0,0,1701
346,346,0,-364644195,0,0,1701
347,347,0,-364644195,0,0,1701
348,348,0,-364644195,0,0,1701
349,349,0,-364644195,1,0,1701
350,350,0,-364644195,0,0,1701
351,351,0,-364644195,0,0,1701
352,352,0,-364644195,0,0,1701
353,353,0,-364644195,0,0,1701
354,354,0,-364644195,0,0,1701
355,355,0,-364644195,0,0,1701
356,356,0,-364644195,0,0,1701
357,357,0,-364644195,0,0,1701
358,358,0,-364644195,0,0,1701
359,359,0,-364644195,0,0,1701
360,360,0,-364644195,0,0,1701
361,361,0,-364644195,0,0,1701
362,362,0,-364644195,0,0,1701
363,363,0,-364644195,0,0,1701
364,364,0,-364644195,0,0,1701
365,365,0,-364644195,0,0,1701
366,366,0,-364644195,0,0,1701
367,367,0,-364644195,0,0,1701
368,368,0,-364644195,0,0,1701
369,369,0,-364644195,0,0,1701
370,370,0,-364644195,0,0,1701
371,371,0,-364644195,0,0,1701
372,372,0,-364644195,0,0,1701
373,373,0,-364644195,0,0,1701
374,374,0,-365816496,0,0,1701
375,375,0,-365816496,0,0,1701
376,376,0,-365816496,0,0,1701
377,377,0,-365816496,0,0,1701
378,378,0,-365816496,0,0,1701
379,379,0,-365816496,0,0,1701
380,380,0,-365816496,0,0,1701
381,381,0,-365816496,0,0,1701
382,382,0,-365816496,0,0,1701
383,383,0,-365816496,0,0,1701
384,384,0,-365816496,0,0,1701
385,385,0,-365816496,0,0,1701
386,386,0,-365816496,0,0,1701
387,387,0,-365816496,0,0,1701
388,388,0,-365816496,0,0,1701
389,389,0,-365816496,0,0,1701
390,390,0,-365816496,0,0,1701
391,391,0,-365816496,0,0,1701
392,392,0,-365816496,0,0,1701
393,393,0,-365816496,0,0,1701
394,394,0,-365816496,0,0,1701
395,395,0,-365816496,0,0,1701
396,396,0,-365816496,0,0,1701
397,397,0,-365816496,0,0,1701
398,398,0,-365816496,0,0,1701
399,399,0,-365816496,0,0,1701
400,400,0,-365816496,0,0,1701
401,401,0,-365816496,0,0,1701
402,402,0,-365816496,0,0,1701
403,403,0,-365816496,0,0,1701
404,404,0,-365816496,0,0,1701
405,405,0,-365816496,0,0,1701
406,406,0,-365816496,0,0,1701
407,407,0,-365816496,0,0,1701
408,408,0,-365816496,0,0,1701
409,409,0,-365816496,0,0,1701
410,410,0,-365816496,0,0,1701
411,411,0,-365816496,0,0,1701
412,412,0,-365816496,0,0,1701
413,413,0,-365816496,0,0,1701
414,414,0,-365816496,0,0,1701
415,415,0,-365816496,0,0,1701
416,416,0,-365816496,0,0,1701
417,417,0,-365816496,0,0,1701
418,418,0,-365816496,0,0,1701
419,419,0,-365816496,0,0,1701
420,420,0,-365816496,0,0,1701
421,421,0,-365816496,0,0,1701
422,422,0,-365816496,0,0,1701
423,423,0,-365816496,0,0,1701
424,424,0,-365816496,0,0,1701
425,425,0,-365816496,0,0,1701
426,426,0,-365816496,0,0,1701
427,427,0,-365816496,0,0,1701
428,428,0,-365816496,0,0,1701
429,429,0,-365816496,0,0,1701
430,430,0,-365816496,0,0,1701
431,431,0,-365816496,0,0,1701
432,432,0,-365816496,0,0,1701
433,433,0,-365816496,0,0,1701
434,434,0,-365816496,0,0,1701
435,435,0,-365816496,0,0,1701
436,436,0,-365816496,0,0,1701
437,437,0,-365816496,0,0,1701
438,438,0,-365816496,0,0,1699
439,439,0,-365816496,0,0,1699
440,440,0,-365816496,0,0,1699
441,441,0,-365816496,0,0,1699
442,442,0,-365816496,0,0,1699
443,443,0,-365816496,0,0,1699
444,444,0,-365816496,0,0,1699
445,445,0,-365816496,0,0,1699
446,446,0,-365816496,0,0,1699
447,447,0,-365816496,0,0,1699
448,448,0,-365816496,0,0,1699
449,449,0,-365816496,1,0,1699
450,450,0,-365816496,0,0,1699
451,451,0,-365816496,0,0,1699
452,452,0,-365816496,0,0,1699
453,453,0,-365816496,0,0,1699
454,454,0,-365816496,0,0,1699
455,455,0,-365816496,0,0,1699
456,456,0,-365816496,0,0,1699
457,457,0,-365816496,0,0,1699
458,458,0,-365816496,0,0,1699
459,459,0,-365816496,0,0,1699
460,460,0,-365816496,0,0,1699
461,461,0,-365816496,0,0,1699
462,462,0,-365816496,0,0,1699
463,463,0,-365816496,0,0,1699
464,464,0,-365816496,0,0,1699
465,465,0,-365816496,0,0,1699
466,466,0,-365816496,0,1,1699
467,467,0,-365816496,0,0,1699
468,468,0,-365816496,0,0,1699
469,469,0,-365816496,0,0,1699
470,470,0,-365816496,0,0,1699
471,471,0,-365816496,0,0,1699
472,472,0,-365816496,0,0,1699
473,473,0,-365816496,0,0,1699
474,474,0,-372187499,0,0,1699
475,475,0,-372187499,0,0,1699
476,476,0,-372187499,0,0,1699
477,477,0,-372187499,0,0,1699
478,478,0,-372187499,0,0,1699
479,479,0,-372187499,0,0,1699
480,480,0,-372187499,0,0,1699
481,481,0,-372187499,0,0,1699
482,482,0,-372187499,0,0,1699
483,483,0,-372187499,0,0,1699
484,484,0,-372187499,0,0,1699
485,485,0,-372187499,0,0,1699
486,486,0,-372187499,0,0,1699
487,487,0,-372187499,0,0,1699
488,488,0,-372187499,0,0,1699
489,489,0,-372187499,0,0,1699
490,490,0,-372187499,0,0,1699
491,491,0,-372187499,0,0,1699
492,492,0,-372187499,0,0,1699
493,493,0,-372187499,0,0,1699
494,494,0,-372187499,0,0,1699
495,495,0,-372187499,0,0,1699
